,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,trending,mkdocs_theme,extra_dependencies,license,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
146,mkdocs-d2-plugin,d2,landmaj/mkdocs-d2-plugin,mkdocs-d2-plugin,['plugin'],charts,{},38.0,38.0,4.0,https://pypi.org/project/mkdocs-d2-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
147,oEmbedPy,oembedpy,attakei/oEmbedPy,oEmbedPy,['plugin'],charts,https://oembedpy.readthedocs.io/en/stable/integrations/mkdocs/,17.0,17.0,2.0,https://pypi.org/project/oEmbedPy,,,MkDocs plugin to render rich contents from URL by oEmbed API.,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
148,nbconvert,nbconvert,tanbro/mkdocs-nbconvert,mkdocs-nbconvert,['plugin'],code-exec-templating,{},11.0,11.0,5.0,https://pypi.org/project/mkdocs-nbconvert,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
149,markdown-filter,markdown-filter,byrnereese/mkdocs-markdown-filter,mkdocs-markdown-filter,['plugin'],code-exec-templating,{},41.0,41.0,,https://pypi.org/project/mkdocs-markdown-filter,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
150,placeholder,placeholder,six-two/mkdocs-placeholder-plugin,mkdocs-placeholder-plugin,['plugin'],code-exec-templating,{},20.0,20.0,3.0,https://pypi.org/project/mkdocs-placeholder-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
151,branchcustomization,branchcustomization,effigies/mkdocs-branchcustomization-plugin,mkdocs-branchcustomization-plugin,['plugin'],git-info,{},28.0,28.0,,https://pypi.org/project/mkdocs-branchcustomization-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
152,Github Releaase Changelog,mkdocs_github_changelog,djpugh/mkdocs_github_changelog,mkdocs-github-changelog,['plugin'],git-info,{},,,2.0,https://pypi.org/project/mkdocs-github-changelog,2599.0,2599.0,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
153,mkdocs-link-embeds,link-embeds,Aetherinox/mkdocs-link-embeds,mkdocs-link-embeds-plugin,['plugin'],html-css,{},11.0,11.0,,https://pypi.org/project/mkdocs-link-embeds-plugin,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
154,MkDocs Dependency License Information,mkdocs_licenseinfo,djpugh/mkdocs_licenseinfo,mkdocs-licenseinfo,['plugin'],integrations,{},,,2.0,https://pypi.org/project/mkdocs-licenseinfo,2168.0,2168.0,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
155,MkDocs asciinema-player,asciinema-player,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],integrations,{},23.0,23.0,7.0,https://pypi.org/project/mkdocs-asciinema-player,,,,2,True,3.0,,,,,,,,,,,,,,,,,,,,,
