,name,mkdocs_plugin,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,trending,license,markdown_extension,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi,bitbucket_id
47,MkApi,mkapi,daizutabi/mkapi,mkapi,['plugin'],api-docs,{},268.0,268.0,6.0,https://pypi.org/project/mkapi,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,
48,MkDocsOAD,"['neoteroi.mkdocsoad', 'neoteroi.contribs']",Neoteroi/mkdocs-plugins,neoteroi-mkdocs,"['plugin', 'markdown']",api-docs,{},529.0,529.0,13.0,https://pypi.org/project/neoteroi-mkdocs,,,Plugin for MkDocs to generate human readable documentation from OpenAPI Documentation Version 3 (also known as Swagger..,4,True,2.0,,,,,"['neoteroi.cards', 'neoteroi.timeline', 'neoteroi.projects', 'neoteroi.spantable']",,,,,,,,,,,,,,,,
49,Blogs for MkDocs,blog,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,{},225.0,225.0,,https://pypi.org/project/mkdocs-blog-plugin,,,,4,True,1.0,,,,,,,,,,,,,,,['mkdocs_plugin'],,,,,,
50,mkdocs-blogging-plugin,blogging,liang2kl/mkdocs-blogging-plugin,mkdocs-blogging-plugin,['plugin'],blogging,{},321.0,321.0,7.0,https://pypi.org/project/mkdocs-blogging-plugin,,,,4,True,1.0,,,,,,,,,,,,,,,,,,,,,
51,mknotebooks,mknotebooks,greenape/mknotebooks,mknotebooks,['plugin'],code-exec-templating,{},798.0,798.0,14.0,https://pypi.org/project/mknotebooks,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,
52,user-defined-values,user-defined-values,rahult/mkdocs-user-defined-values,mkdocs-user-defined-values,['plugin'],code-exec-templating,{},15.0,15.0,3.0,https://pypi.org/project/mkdocs-user-defined-values,,,,4,True,2.0,,,,MIT,,,,,,,,,,,,,,,,,
53,mkdocs-marimo,marimo,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],code-exec-templating,{},14.0,14.0,8.0,https://pypi.org/project/mkdocs-marimo,,,,4,True,2.0,,,,Apache-2,,,,,,,,,,,,,,,,,
54,git-committers,git-committers,byrnereese/mkdocs-git-committers-plugin,mkdocs-git-committers-plugin,['plugin'],git-info,{},354.0,354.0,7.0,https://pypi.org/project/mkdocs-git-committers-plugin,,,,4,True,3.0,,,,,,,,,,,,,,,['mkdocs_plugin'],,,,,,
55,enumerate-headings,enumerate-headings,timvink/mkdocs-enumerate-headings-plugin,mkdocs-enumerate-headings-plugin,['plugin'],html-css,{},396.0,396.0,6.0,https://pypi.org/project/mkdocs-enumerate-headings-plugin,,,,4,True,1.0,,,,,,,,,,,,,,,,,,,,,
56,MkDocs Swagger UI Tag,swagger-ui-tag,blueswen/mkdocs-swagger-ui-tag,mkdocs-swagger-ui-tag,['plugin'],integrations,{},446.0,446.0,10.0,https://pypi.org/project/mkdocs-swagger-ui-tag,,,,4,True,2.0,,,,,,,,,,,,,,,,,,,,,
